date,time,gate_dir,vehicle_model[0]_2h_ago,vehicle_model[1]_2h_ago,vehicle_model[2]_2h_ago,vehicle_model[3]_2h_ago,vehicle_model[4]_2h_ago,vehicle_model[5]_2h_ago,vehicle_model[6]_2h_ago,vehicle_model[7]_2h_ago,has_etc[0]_2h_ago,has_etc[1]_2h_ago,working_day_2h_ago,total_volume_2h_ago,vehicle_model[0]_1d2h_ago,vehicle_model[1]_1d2h_ago,vehicle_model[2]_1d2h_ago,vehicle_model[3]_1d2h_ago,vehicle_model[4]_1d2h_ago,vehicle_model[5]_1d2h_ago,vehicle_model[6]_1d2h_ago,vehicle_model[7]_1d2h_ago,has_etc[0]_1d2h_ago,has_etc[1]_1d2h_ago,working_day_1d2h_ago,total_volume_1d2h_ago,total_volume,$N-total_volume
2016-10-18,06:00:00,0,0,13,0,0,0,0,0,0,11,2,1,13,0,11,1,1,0,0,0,0,9,4,1,13,?,24
2016-10-18,06:00:00,1,0,24,6,2,0,5,0,0,34,3,1,37,0,36,6,1,0,2,0,0,40,5,1,45,?,92
2016-10-18,06:00:00,2,0,17,7,0,0,0,0,0,20,4,1,24,0,25,6,0,0,0,0,0,19,12,1,31,?,35
2016-10-18,06:00:00,3,0,19,11,0,0,0,0,0,23,7,1,30,0,25,14,0,1,0,0,0,33,7,1,40,?,60
2016-10-18,06:00:00,4,0,16,1,3,1,2,0,0,21,2,1,23,0,25,4,0,1,2,0,0,29,3,1,32,?,58
2016-10-18,06:20:00,0,0,13,4,0,0,0,0,0,12,5,1,17,0,14,4,0,0,0,0,0,12,6,1,18,?,31
2016-10-18,06:20:00,1,0,31,5,4,1,4,0,2,39,8,1,47,0,50,11,4,1,2,0,0,62,6,1,68,?,78
2016-10-18,06:20:00,2,0,29,7,0,0,0,0,0,29,7,1,36,0,37,8,0,0,0,0,0,37,8,1,45,?,42
2016-10-18,06:20:00,3,0,30,12,0,0,0,0,0,38,4,1,42,0,45,14,0,0,0,0,0,48,11,1,59,?,55
2016-10-18,06:20:00,4,0,22,2,2,1,2,0,0,23,6,1,29,0,30,6,0,0,5,0,0,35,6,1,41,?,47
2016-10-18,06:40:00,0,0,16,3,2,0,0,0,0,12,9,1,21,0,16,0,3,0,0,0,0,10,9,1,19,?,35
2016-10-18,06:40:00,1,0,51,13,5,1,1,1,0,62,10,1,72,0,58,5,6,1,3,0,0,59,14,1,73,?,89
2016-10-18,06:40:00,2,0,38,8,0,0,0,0,0,33,13,1,46,0,46,5,0,1,0,0,0,37,15,1,52,?,47
2016-10-18,06:40:00,3,0,68,15,1,1,0,0,0,55,30,1,85,0,74,15,2,4,0,0,0,59,36,1,95,?,93
2016-10-18,06:40:00,4,0,39,4,5,0,2,0,0,38,12,1,50,0,41,2,2,3,1,0,0,36,13,1,49,?,54
2016-10-18,07:00:00,0,0,22,7,0,2,0,0,0,18,13,1,31,0,36,5,1,3,0,0,0,34,11,1,45,?,53
2016-10-18,07:00:00,1,0,56,7,1,1,2,0,1,49,19,1,68,0,94,7,1,2,1,0,1,85,21,1,106,?,78
2016-10-18,07:00:00,2,0,78,4,0,1,0,0,0,47,36,1,83,0,81,2,0,1,0,0,0,53,31,1,84,?,53
2016-10-18,07:00:00,3,0,84,23,2,5,0,0,0,73,41,1,114,0,122,18,1,4,0,0,0,97,48,1,145,?,101
2016-10-18,07:00:00,4,0,49,2,2,0,3,0,0,37,19,1,56,0,76,4,2,2,3,0,0,69,18,1,87,?,49
2016-10-18,07:20:00,0,0,25,3,0,0,0,0,0,23,5,1,28,0,41,3,0,0,0,0,0,31,13,1,44,?,32
2016-10-18,07:20:00,1,0,80,9,3,1,0,0,1,69,25,1,94,0,106,7,3,0,4,0,0,82,38,1,120,?,78
2016-10-18,07:20:00,2,0,84,2,1,0,0,0,0,53,34,1,87,0,120,3,2,0,0,0,0,77,48,1,125,?,67
2016-10-18,07:20:00,3,16,96,12,1,6,0,0,0,84,47,1,131,0,141,16,2,3,0,0,0,105,57,1,162,?,92
2016-10-18,07:20:00,4,0,71,5,0,0,1,0,0,55,22,1,77,0,103,6,1,1,0,0,0,80,31,1,111,?,76
2016-10-18,07:40:00,0,0,41,5,1,0,0,0,0,37,10,1,47,0,53,1,1,1,0,0,0,36,20,1,56,?,46
2016-10-18,07:40:00,1,0,86,8,3,6,2,0,0,72,33,1,105,0,112,8,4,1,5,0,0,96,34,1,130,?,83
2016-10-18,07:40:00,2,0,96,1,0,0,0,0,0,56,41,1,97,1,113,5,0,0,0,0,0,76,43,1,119,?,65
2016-10-18,07:40:00,3,0,142,15,0,7,0,0,0,105,59,1,164,0,147,13,1,4,0,0,0,106,59,1,165,?,94
2016-10-18,07:40:00,4,0,83,6,0,1,1,0,0,68,23,1,91,0,99,2,2,1,0,0,0,69,35,1,104,?,79
2016-10-18,15:00:00,0,0,48,4,0,0,0,0,0,39,13,1,52,0,43,2,0,1,0,0,0,35,11,1,46,?,37
2016-10-18,15:00:00,1,0,63,3,2,1,3,0,0,55,17,1,72,0,84,8,2,2,3,0,0,71,28,1,99,?,83
2016-10-18,15:00:00,2,0,64,9,0,1,0,0,0,61,13,1,74,0,40,12,0,1,0,0,0,43,10,1,53,?,71
2016-10-18,15:00:00,3,0,93,20,2,1,0,0,0,96,20,1,116,0,91,17,4,5,0,0,0,91,26,1,117,?,100
2016-10-18,15:00:00,4,0,76,2,2,0,1,0,0,67,14,1,81,0,89,2,1,0,1,0,0,75,18,1,93,?,68
2016-10-18,15:20:00,0,0,36,2,0,0,0,0,0,31,7,1,38,0,44,3,0,0,0,0,0,32,15,1,47,?,34
2016-10-18,15:20:00,1,0,91,6,1,3,1,0,0,79,23,1,102,0,81,2,2,1,6,0,0,77,15,1,92,?,92
2016-10-18,15:20:00,2,0,65,12,0,1,0,0,0,63,15,1,78,0,71,13,0,0,0,0,0,56,28,1,84,?,73
2016-10-18,15:20:00,3,0,69,16,1,1,0,0,0,70,17,1,87,0,85,19,0,1,0,0,0,79,26,1,105,?,88
2016-10-18,15:20:00,4,0,82,4,2,1,1,1,0,72,19,1,91,0,112,6,2,1,1,0,0,92,30,1,122,?,88
2016-10-18,15:40:00,0,0,35,0,0,0,0,0,0,24,11,1,35,0,33,2,0,0,0,0,0,22,13,1,35,?,30
2016-10-18,15:40:00,1,0,100,9,2,2,3,0,0,97,19,1,116,0,80,3,3,2,1,0,0,67,22,1,89,?,90
2016-10-18,15:40:00,2,0,47,5,0,1,0,0,0,36,17,1,53,0,62,14,0,0,0,0,0,63,13,1,76,?,58
2016-10-18,15:40:00,3,0,81,23,1,1,0,0,0,76,30,1,106,0,88,20,0,0,0,0,0,83,25,1,108,?,90
2016-10-18,15:40:00,4,0,80,1,1,0,1,0,0,64,19,1,83,0,78,5,4,0,3,0,0,72,18,1,90,?,75
2016-10-18,16:00:00,0,0,55,2,0,0,0,0,0,45,12,1,57,0,59,3,0,1,0,0,0,46,17,1,63,?,42
2016-10-18,16:00:00,1,0,91,3,4,1,3,0,0,74,28,1,102,0,89,6,2,2,2,0,0,70,31,1,101,?,78
2016-10-18,16:00:00,2,0,55,7,0,0,0,0,0,53,9,1,62,0,57,11,0,0,0,0,0,48,20,1,68,?,62
2016-10-18,16:00:00,3,0,83,22,1,3,0,0,0,84,25,1,109,0,88,25,0,1,0,0,0,88,26,1,114,?,105
2016-10-18,16:00:00,4,0,82,2,0,0,0,0,0,68,16,1,84,0,88,1,0,2,0,0,0,72,19,1,91,?,63
2016-10-18,16:20:00,0,0,42,2,0,1,0,0,0,30,15,1,45,0,52,3,0,1,0,0,0,39,17,1,56,?,37
2016-10-18,16:20:00,1,0,72,7,1,3,1,0,0,60,24,1,84,0,92,11,4,1,0,0,0,84,24,1,108,?,88
2016-10-18,16:20:00,2,0,55,7,0,1,0,0,0,45,18,1,63,0,83,9,0,0,0,0,0,65,27,1,92,?,66
2016-10-18,16:20:00,3,0,95,22,0,0,0,0,0,89,28,1,117,0,88,23,0,1,0,0,0,89,23,1,112,?,90
2016-10-18,16:20:00,4,0,84,6,0,1,1,0,0,71,21,1,92,0,87,4,1,0,2,0,0,70,24,1,94,?,83
2016-10-18,16:40:00,0,0,46,7,0,0,0,0,0,37,16,1,53,0,41,0,1,0,0,0,0,29,13,1,42,?,38
2016-10-18,16:40:00,1,0,103,5,1,1,3,0,0,87,26,1,113,0,88,10,2,2,2,0,0,80,24,1,104,?,91
2016-10-18,16:40:00,2,0,72,10,0,1,0,0,0,68,15,1,83,0,60,11,0,1,0,0,0,59,13,1,72,?,73
2016-10-18,16:40:00,3,0,96,20,1,1,0,0,0,83,35,1,118,0,77,17,1,1,0,0,0,73,23,1,96,?,97
2016-10-18,16:40:00,4,0,75,6,2,0,0,0,0,55,28,1,83,0,79,5,3,0,3,0,0,71,19,1,90,?,76
2016-10-19,06:00:00,0,0,10,2,0,0,0,0,0,11,1,1,12,0,13,0,0,0,0,0,0,11,2,1,13,?,21
2016-10-19,06:00:00,1,0,35,4,5,0,4,0,0,42,6,1,48,0,24,6,2,0,5,0,0,34,3,1,37,?,107
2016-10-19,06:00:00,2,0,19,6,0,1,0,0,0,20,6,1,26,0,17,7,0,0,0,0,0,20,4,1,24,?,42
2016-10-19,06:00:00,3,0,15,8,0,1,0,0,0,21,3,1,24,0,19,11,0,0,0,0,0,23,7,1,30,?,66
2016-10-19,06:00:00,4,0,12,3,4,0,2,0,0,19,2,1,21,0,16,1,3,1,2,0,0,21,2,1,23,?,75
2016-10-19,06:20:00,0,0,13,3,0,0,0,0,0,12,4,1,16,0,13,4,0,0,0,0,0,12,5,1,17,?,30
2016-10-19,06:20:00,1,0,18,6,1,0,3,0,0,24,4,1,28,0,31,5,4,1,4,0,2,39,8,1,47,?,95
2016-10-19,06:20:00,2,0,33,11,1,0,0,0,0,37,8,1,45,0,29,7,0,0,0,0,0,29,7,1,36,?,57
2016-10-19,06:20:00,3,1,32,23,1,0,0,0,0,46,11,1,57,0,30,12,0,0,0,0,0,38,4,1,42,?,74
2016-10-19,06:20:00,4,0,20,3,1,1,1,0,0,19,7,1,26,0,22,2,2,1,2,0,0,23,6,1,29,?,43
2016-10-19,06:40:00,0,0,11,3,2,1,0,0,0,13,4,1,17,0,16,3,2,0,0,0,0,12,9,1,21,?,48
2016-10-19,06:40:00,1,0,42,8,4,2,1,0,0,42,15,1,57,0,51,13,5,1,1,1,0,62,10,1,72,?,92
2016-10-19,06:40:00,2,0,42,5,0,0,0,0,0,32,15,1,47,0,38,8,0,0,0,0,0,33,13,1,46,?,42
2016-10-19,06:40:00,3,0,57,14,2,2,0,0,0,52,23,1,75,0,68,15,1,1,0,0,0,55,30,1,85,?,92
2016-10-19,06:40:00,4,0,34,5,2,1,1,0,0,32,11,1,43,0,39,4,5,0,2,0,0,38,12,1,50,?,73
2016-10-19,07:00:00,0,0,15,5,1,1,0,0,0,13,9,1,22,0,22,7,0,2,0,0,0,18,13,1,31,?,41
2016-10-19,07:00:00,1,0,48,12,1,1,4,1,0,49,18,1,67,0,56,7,1,1,2,0,1,49,19,1,68,?,95
2016-10-19,07:00:00,2,0,78,7,1,1,0,0,0,51,36,1,87,0,78,4,0,1,0,0,0,47,36,1,83,?,73
2016-10-19,07:00:00,3,0,93,20,1,5,0,0,0,78,41,1,119,0,84,23,2,5,0,0,0,73,41,1,114,?,102
2016-10-19,07:00:00,4,0,44,5,2,2,0,0,0,34,19,1,53,0,49,2,2,0,3,0,0,37,19,1,56,?,51
2016-10-19,07:20:00,0,0,33,5,0,0,0,0,0,28,10,1,38,0,25,3,0,0,0,0,0,23,5,1,28,?,32
2016-10-19,07:20:00,1,0,82,9,4,1,2,0,0,75,23,1,98,0,80,9,3,1,0,0,1,69,25,1,94,?,81
2016-10-19,07:20:00,2,0,91,3,0,1,0,0,0,59,36,1,95,0,84,2,1,0,0,0,0,53,34,1,87,?,63
2016-10-19,07:20:00,3,0,106,20,2,9,0,0,0,85,52,1,137,16,96,12,1,6,0,0,0,84,47,1,131,?,86
2016-10-19,07:20:00,4,0,56,3,3,0,1,0,0,39,24,1,63,0,71,5,0,0,1,0,0,55,22,1,77,?,48
2016-10-19,07:40:00,0,0,38,3,0,0,0,0,0,26,15,1,41,0,41,5,1,0,0,0,0,37,10,1,47,?,36
2016-10-19,07:40:00,1,0,84,10,3,2,3,0,1,76,27,1,103,0,86,8,3,6,2,0,0,72,33,1,105,?,74
2016-10-19,07:40:00,2,0,90,8,0,1,0,0,0,58,41,1,99,0,96,1,0,0,0,0,0,56,41,1,97,?,70
2016-10-19,07:40:00,3,0,137,10,2,3,0,0,0,103,49,1,152,0,142,15,0,7,0,0,0,105,59,1,164,?,89
2016-10-19,07:40:00,4,0,98,1,1,0,4,0,0,74,30,1,104,0,83,6,0,1,1,0,0,68,23,1,91,?,77
2016-10-19,15:00:00,0,0,35,5,0,0,0,0,0,32,8,1,40,0,48,4,0,0,0,0,0,39,13,1,52,?,36
2016-10-19,15:00:00,1,0,72,7,3,1,0,0,0,63,20,1,83,0,63,3,2,1,3,0,0,55,17,1,72,?,84
2016-10-19,15:00:00,2,0,60,8,0,2,0,0,0,52,18,1,70,0,64,9,0,1,0,0,0,61,13,1,74,?,70
2016-10-19,15:00:00,3,0,88,16,2,1,0,0,0,79,28,1,107,0,93,20,2,1,0,0,0,96,20,1,116,?,98
2016-10-19,15:00:00,4,0,90,5,0,2,2,0,0,78,21,1,99,0,76,2,2,0,1,0,0,67,14,1,81,?,86
2016-10-19,15:20:00,0,0,31,3,0,0,0,0,0,25,9,1,34,0,36,2,0,0,0,0,0,31,7,1,38,?,31
2016-10-19,15:20:00,1,0,87,6,3,1,2,0,0,73,26,1,99,0,91,6,1,3,1,0,0,79,23,1,102,?,85
2016-10-19,15:20:00,2,0,58,11,0,0,0,0,0,53,16,1,69,0,65,12,0,1,0,0,0,63,15,1,78,?,63
2016-10-19,15:20:00,3,0,74,20,0,2,0,0,0,69,27,1,96,0,69,16,1,1,0,0,0,70,17,1,87,?,93
2016-10-19,15:20:00,4,0,98,6,3,1,0,0,0,73,35,1,108,0,82,4,2,1,1,1,0,72,19,1,91,?,89
2016-10-19,15:40:00,0,0,45,5,0,0,0,0,0,34,16,1,50,0,35,0,0,0,0,0,0,24,11,1,35,?,33
2016-10-19,15:40:00,1,0,78,6,3,4,1,0,0,59,33,1,92,0,100,9,2,2,3,0,0,97,19,1,116,?,88
2016-10-19,15:40:00,2,0,49,9,0,0,0,0,0,49,9,1,58,0,47,5,0,1,0,0,0,36,17,1,53,?,60
2016-10-19,15:40:00,3,0,79,14,0,2,0,0,0,71,24,1,95,0,81,23,1,1,0,0,0,76,30,1,106,?,95
2016-10-19,15:40:00,4,0,71,2,3,2,1,0,0,60,19,1,79,0,80,1,1,0,1,0,0,64,19,1,83,?,63
2016-10-19,16:00:00,0,0,38,1,0,0,0,0,0,34,5,1,39,0,55,2,0,0,0,0,0,45,12,1,57,?,33
2016-10-19,16:00:00,1,0,72,5,0,2,3,0,0,64,18,1,82,0,91,3,4,1,3,0,0,74,28,1,102,?,83
2016-10-19,16:00:00,2,0,51,4,0,0,0,0,0,43,12,1,55,0,55,7,0,0,0,0,0,53,9,1,62,?,45
2016-10-19,16:00:00,3,0,85,22,0,2,0,0,0,79,30,1,109,0,83,22,1,3,0,0,0,84,25,1,109,?,104
2016-10-19,16:00:00,4,0,74,5,2,0,0,0,1,55,27,1,82,0,82,2,0,0,0,0,0,68,16,1,84,?,68
2016-10-19,16:20:00,0,0,36,4,0,0,0,0,0,28,12,1,40,0,42,2,0,1,0,0,0,30,15,1,45,?,35
2016-10-19,16:20:00,1,0,77,2,1,0,0,0,0,58,22,1,80,0,72,7,1,3,1,0,0,60,24,1,84,?,78
2016-10-19,16:20:00,2,0,52,9,0,0,0,0,0,46,15,1,61,0,55,7,0,1,0,0,0,45,18,1,63,?,61
2016-10-19,16:20:00,3,0,81,24,0,0,0,0,0,81,24,1,105,0,95,22,0,0,0,0,0,89,28,1,117,?,82
2016-10-19,16:20:00,4,0,82,5,1,1,0,0,0,64,25,1,89,0,84,6,0,1,1,0,0,71,21,1,92,?,78
2016-10-19,16:40:00,0,0,36,0,0,0,0,0,0,25,11,1,36,0,46,7,0,0,0,0,0,37,16,1,53,?,34
2016-10-19,16:40:00,1,0,75,5,3,1,1,0,0,70,15,1,85,0,103,5,1,1,3,0,0,87,26,1,113,?,85
2016-10-19,16:40:00,2,0,53,10,0,1,0,0,0,52,12,1,64,0,72,10,0,1,0,0,0,68,15,1,83,?,66
2016-10-19,16:40:00,3,0,71,20,1,3,0,0,0,65,30,1,95,0,96,20,1,1,0,0,0,83,35,1,118,?,101
2016-10-19,16:40:00,4,0,72,1,0,1,1,0,0,52,23,1,75,0,75,6,2,0,0,0,0,55,28,1,83,?,70
2016-10-20,06:00:00,0,0,7,1,0,0,0,0,0,4,4,1,8,0,10,2,0,0,0,0,0,11,1,1,12,?,19
2016-10-20,06:00:00,1,0,37,3,4,0,2,0,0,41,5,1,46,0,35,4,5,0,4,0,0,42,6,1,48,?,102
2016-10-20,06:00:00,2,0,18,3,0,0,0,0,0,16,5,1,21,0,19,6,0,1,0,0,0,20,6,1,26,?,33
2016-10-20,06:00:00,3,0,26,10,1,0,0,0,0,31,6,1,37,0,15,8,0,1,0,0,0,21,3,1,24,?,77
2016-10-20,06:00:00,4,0,12,3,0,0,1,0,0,14,2,1,16,0,12,3,4,0,2,0,0,19,2,1,21,?,81
2016-10-20,06:20:00,0,0,15,1,0,0,0,0,0,13,3,1,16,0,13,3,0,0,0,0,0,12,4,1,16,?,26
2016-10-20,06:20:00,1,0,19,3,1,0,4,0,0,24,3,1,27,0,18,6,1,0,3,0,0,24,4,1,28,?,93
2016-10-20,06:20:00,2,1,18,4,0,0,0,0,0,17,6,1,23,0,33,11,1,0,0,0,0,37,8,1,45,?,43
2016-10-20,06:20:00,3,0,36,8,0,0,0,0,0,39,5,1,44,1,32,23,1,0,0,0,0,46,11,1,57,?,64
2016-10-20,06:20:00,4,0,27,5,8,2,7,0,0,43,6,1,49,0,20,3,1,1,1,0,0,19,7,1,26,?,105
2016-10-20,06:40:00,0,0,18,2,2,1,0,0,0,15,8,1,23,0,11,3,2,1,0,0,0,13,4,1,17,?,51
2016-10-20,06:40:00,1,0,33,17,1,1,3,0,0,45,10,1,55,0,42,8,4,2,1,0,0,42,15,1,57,?,97
2016-10-20,06:40:00,2,0,34,8,0,0,0,0,0,32,10,1,42,0,42,5,0,0,0,0,0,32,15,1,47,?,42
2016-10-20,06:40:00,3,0,56,13,2,2,0,0,0,53,20,1,73,0,57,14,2,2,0,0,0,52,23,1,75,?,96
2016-10-20,06:40:00,4,0,29,1,4,0,3,0,0,25,12,1,37,0,34,5,2,1,1,0,0,32,11,1,43,?,36
